"review_id","user_id","business_id","stars","useful","funny","cool","text","date"
"OjzzYk6RTHhhbglbXUqiBQ","ILQP-O68qWK3r4eNgfrWtQ","d9eI_GFFIvR22f63Jt1MtA",5,1,0,0,"RowZone is a full body workout that is highly effective and never boring. Cardio on the ERG, weights and AB exercises make it the most efficient 45 minute workout I have ever done. And, the instructors (Laura in particular) are all professional and motivational. It feels like personalized instruction!","2015-02-03 22:37:43"
"DqdwVBoSxfmKDI6bTFhS7g","DhUEuSrGJfONLDixnP3YkQ","mUIBtlWNPD7sz3rGGWQ1RA",5,0,0,0,"I had spotted Kanella awhile ago when walking through that part of town, never heard of it. Read the reviews on yelp and definitely wanted to try it. We had brunch here at 2pm this past weekend and it was a stellar experience. The restaurant was beyond packed and busy, yet service was still attentive. The smell coming out of this place is intoxicating.

We had a really nice bottle of Stag's Leap Chardonnay and ordered savory brunch items. We shared theTachinosalata Platter to start (tomato salad, warm hummus, pita, felafel).  I had a spiced Mahi over couscous with preserved lemon and varied chopped ingredients. My friend had the clams and mussels penne special. I ordered a dessert that was offered as a special I believe. It was a lemon greek yogurt with a raspberry coulis. It was delicious. 

The dining room is warm and cozy. Yes, it is tight. Yes, it can be loud. The food is the real star here. Everyone sitting around us had amazing looking food as well.

I was really impressed with this place. I cannot wait to go back. It offers something authentic and special.","2010-12-10 00:22:41"
"rOvgFYA_KDiQDGAgla2Lvw","qa2Ew2jvf-LFOSv01G3gnQ","KZW_CVB-8pmIGYX_UVmsqQ",5,1,0,0,"Sandy is awesome!  1st time here.  I had a great experience!  Sandy didn't rush and really took her time to do a great job!","2015-12-11 15:38:40"
"CBIWaY9REAkOz_psdc7lww","D8CF2H3DYtNJlzR0IITMHQ","ugNplY4SZqIfP417oUxahQ",3,2,1,1,"Tried Chick-Fil-A (CFA) 6 times since opening. First time breakfast sandwich (see previous review), another time breakfast sandwiches for my previous employer, 1 time grilled chicken sandwich, 2 times the fried chicken sandwich solo, and meal, and last time was the chicken tender meal. 

I like the Lemonade (5 stars), small upgrade charge if you buy a meal, and they REFILL the Lemonade! I like the waffle iron fries, when they are cooked longer they are 4 stars, otherwise, 2.75 stars. The chicken, it's good, but the servings seem so small with the best being the fried chicken sandwich. I got the 4 pc tenders, and it's like get 6 McNuggets. If the Chicken was organic, it might make a bit more sense, but still would feel pricey. 

I am not a Fan of CFA, and I think the strongest reason is I am a Caniac, eating there at least 1 time per week, sometimes 2x a week for over 1 year now. I always crave it, and I am always happy with what I get. CFA is just okay, last night after getting my tenders, I looked and tasted, and I was 100% craving Cane's, so I went today. If you read my reviews, I have a place that usually adore, and if I go somewhere that doesn't do it like my #1 spot, I have to get to my #1 and get a fix for the experience that was not up to Par! 

At Cane's you get about 4-5 times as much chicken for a MUCH LOWER price! CFA is still busy, and I am not getting it, unless they are just experiencing. I don't see this current busyness as sustainable, and here's why, they close at 9PM daily, and are CLOSED on SUNDAYS! 

I think that's a cool idea, but that reminds me of 30-40 years ago thinking, and I am sure they are losing SERIOUS $$ with this policy, especially in Nevada. We are 24 hour town and 7 days a week, these hours (close at 9PM) and time (M-Sa) don't work. If they change to 24 hours (drive thru) and open 7 days a week, I can see them being a success permanently. Also they need to create a buyer's or VIP club, especially with the small chicken servings.","2017-08-12 06:51:45"
"ZCLCfVUjV-nlExlljLZxIA","r05Pr0OI4hkKdPS0bn9IDA","Uu7jwsfsaU-VJrV8Kpb4uw",5,0,0,0,"Curry chicken salad wrap with crisp veggies and fresh organic fruits.  I actually died.. it was that good.  The coffee is delicious and it is nice to have agave syrup as a sweetener option.  This is my favorite place in Phoenixville  for fresh fast eats.","2011-07-31 12:58:18"
"Hg7Qgb7iYGdw5QXqBEduvQ","v2TAq2PfbwOgYVlPbjLJjg","PY9GRfzr4nTZeINf346QOw",5,0,0,0,"WOW....

This place has come a long way. We got a suite overlooking the pool. It was fantastic. Huge paintings on the walls, separate shower with multiple shower heads, nice TV'S and great Casino action.

Staff is friendly and they just upgraded the poker room.

Who says the economy is suffering hasn't been here.","2012-07-19 20:57:41"
"GE1PvRDq0daP9UFcsdrmNA","mlTN5YVzzSk0etZFuD7eRA","_GP3RQvidO0XDSsd_4wfvw",1,3,0,1,"DO NOT shop there! Driver decided to drive off with out fridge- after 4 hours on the phone resolution was a 10% coupon and delivery... In 4 days!!
Worst experience ever! Unprofessional and rude! Would never shop there again. Beware!!","2014-04-20 01:02:54"
"NeUNGoiYfpLZSqhF_vdUIg","qFnOBrQBauci1j8YmmhK4g","m5-FtgWRd4qA7j0vaOXiXQ",4,0,0,0,"I am really glad that I did the Preservation Hall experience during my short time in NOLA as I think it gave me an authentic jazz experience.

They have three shows at night (8pm, 9pm, and 10pm). We arrived for the 10pm show 40 minutes early and barely got in. For 40 minutes, we waited outside. The bar next door lets you use the restroom facilities while you wait. Then you stand in a small room and watch a group play jazz. It was a cool experience.

Warning: You will have to stand 45 minutes for waiting on line + 45 minute show. You can pay extra to sit, but I do believe you have to reserve that before hand.","2016-03-21 00:33:50"
"JRSF1NRI59s-CoJuZD_XDQ","K47RXWydxGWGQOJfFViPaA","PY9GRfzr4nTZeINf346QOw",5,0,0,0,"Peppermill Casino is one of my local favorites. I have been in Reno for about 18 years now, and Peppermill has always been a great spot. Between late-night trips to the café and good times at there club Edge I'm a big fan of this place. Oh, yeah and if you want some good sushi head into Oceano.","2018-04-05 00:00:55"
"nxUhvJm59UXw1EHBLCvKUg","FK2yenCV_2tFfzB-GA-6DA","aJvxWyQIG5OLfBw3qAe8xA",1,0,0,0,"Horrible customer service. Major attitude problem. Been to many Starbucks in US and in other countries definitely do not follow the Starbucks great customer service model.","2016-10-13 23:29:30"
